City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Iqaluit,63.7506,-68.5145,-9.4,70,1,23.02,CA,1611860525
Rikitea,-23.1203,-134.9692,79.18,69,98,3.98,PF,1611860525
Hermanus,-34.4187,19.2345,62.01,77,0,8.19,ZA,1611860525
Husavik,66.0449,-17.3389,1.4,85,0,9.51,IS,1611860525
Vaini,-21.2,-175.2,77.0,100,90,37.89,TO,1611860525
Gongzhuling,43.5008,124.8198,-16.8,86,0,4.7,CN,1611860526
Kiama,-34.6833,150.8667,69.01,85,100,5.01,AU,1611860526
Bakhtiyārpur,25.4667,85.5167,46.4,100,90,3.69,IN,1611860526
Ushuaia,-54.8,-68.3,42.8,93,75,16.11,AR,1611860526
Leningradskiy,69.3833,178.4167,-22.07,85,47,3.6,RU,1611860526
Bulz,46.9167,22.6833,34.0,75,75,12.66,RO,1611860527
Busselton,-33.65,115.3333,61.56,84,0,13.71,AU,1611860527
Coquimbo,-29.9533,-71.3436,66.2,72,20,12.66,CL,1611860527
Albany,42.6001,-73.9662,25.0,48,62,8.01,US,1611860319
Lebu,-37.6167,-73.65,60.44,89,100,5.5,CL,1611860527
Springbok,-29.6643,17.8865,69.62,34,0,6.46,ZA,1611860527
Nizwá,22.9333,57.5333,57.61,48,0,3.11,OM,1611860291
Voskresenskoye,56.8381,45.4317,21.94,98,100,6.64,RU,1611860528
Bluff,-46.6,168.3333,48.0,81,97,7.0,NZ,1611860528
Barrow,71.2906,-156.7887,-9.4,70,90,11.5,US,1611860528
Mataura,-46.1927,168.8643,48.0,81,92,7.0,NZ,1611860528
Saint-Philippe,-21.3585,55.7679,78.8,73,20,4.61,RE,1611860528
Bulungu,-4.55,18.6,75.56,80,59,2.28,CD,1611860528
Nikolskoye,59.7035,30.7861,33.8,86,90,8.95,RU,1611860529
Port Elizabeth,-33.918,25.5701,66.2,77,0,4.61,ZA,1611860424
Ponta do Sol,32.6667,-17.1,60.01,76,45,1.01,PT,1611860529
Yellowknife,62.456,-114.3525,-25.6,75,75,4.61,CA,1611860403
Hilo,19.7297,-155.09,68.0,82,75,3.44,US,1611860529
Chicama,-7.8447,-79.1469,71.6,78,20,10.36,PE,1611860529
Punta Arenas,-53.15,-70.9167,48.2,57,75,24.16,CL,1611860530
Salalah,17.0151,54.0924,73.4,56,0,2.3,OM,1611860253
Atuona,-9.8,-139.0333,78.12,80,0,18.19,PF,1611860530
Bredasdorp,-34.5322,20.0403,66.2,55,0,6.91,ZA,1611860530
Valdivia,-39.8142,-73.2459,60.8,94,90,9.22,CL,1611860530
Churapcha,62.0025,132.4325,-44.36,77,100,2.66,RU,1611860531
Vardø,70.3705,31.1107,24.8,74,75,17.27,NO,1611860531
Khatanga,71.9667,102.5,-39.55,75,0,4.03,RU,1611860531
Osypenko,46.9136,36.8253,35.01,81,0,15.01,UA,1611860532
Santa Vitória do Palmar,-33.5189,-53.3681,79.5,51,26,10.58,BR,1611860532
Tuktoyaktuk,69.4541,-133.0374,-34.6,74,1,9.22,CA,1611860532
Torbay,47.6666,-52.7314,28.99,93,90,10.36,CA,1611860532
Hithadhoo,-0.6,73.0833,81.73,71,100,10.27,MV,1611860532
New Norfolk,-42.7826,147.0587,57.99,57,87,3.0,AU,1611860532
Caxito,-8.5785,13.6643,80.6,83,40,5.75,AO,1611860533
Lagoa,39.05,-27.9833,62.71,88,100,37.04,PT,1611860533
San Isidro,-12.1167,-77.05,75.2,69,0,6.91,PE,1611860533
Port Alfred,-33.5906,26.891,66.0,78,0,3.0,ZA,1611860533
Vredendal,-31.6683,18.5012,63.86,65,0,16.98,ZA,1611860533
Oktyabr'skoye,43.0645,44.7417,41.0,81,99,8.95,RU,1611860533
Hobart,-42.8794,147.3294,59.0,55,90,9.22,AU,1611860404
Skjervøy,70.0311,20.9714,19.4,58,75,8.05,NO,1611860534
Deputatsky,69.3,139.9,-39.37,80,81,4.07,RU,1611860534
Dikson,73.5069,80.5464,-30.44,80,75,5.21,RU,1611860534
Tiksi,71.6872,128.8694,-20.45,88,100,6.11,RU,1611860534
Aban,56.67,96.06,-32.39,81,100,1.3,RU,1611860535
Provideniya,64.3833,-173.3,1.02,85,100,18.97,RU,1611860535
Mildura,-34.2,142.15,73.4,78,90,17.27,AU,1611860535
Cabo San Lucas,22.8909,-109.9124,77.0,33,40,8.05,MX,1611860535
Carballo,43.213,-8.691,59.0,88,100,5.01,ES,1611860535
Jamestown,42.097,-79.2353,18.0,73,90,14.97,US,1611860536
Maniitsoq,65.4167,-52.9,25.75,79,0,6.11,GL,1611860536
Qaanaaq,77.484,-69.3632,-12.26,68,0,10.2,GL,1611860536
Panama City,8.9936,-79.5197,89.6,51,40,16.11,PA,1611860536
Pevek,69.7008,170.3133,-19.7,85,13,0.76,RU,1611860536
Cherskiy,68.75,161.3,-26.9,85,100,2.8,RU,1611860536
Isangel,-19.55,169.2667,75.2,100,75,13.33,VU,1611860537
Mahébourg,-20.4081,57.7,77.0,83,40,4.61,MU,1611860537
Sabang,5.8933,95.3214,80.83,79,80,9.1,ID,1611860537
Suntar,62.1444,117.6319,-44.07,79,100,3.87,RU,1611860537
Hong Kong,22.2855,114.1577,61.0,57,12,14.67,HK,1611860480
Inhambane,-23.865,35.3833,82.4,83,20,2.3,MZ,1611860538
Katsuura,35.1333,140.3,48.99,93,75,5.75,JP,1611860538
High Level,58.5169,-117.136,-18.4,83,20,2.8,CA,1611860538
Honiara,-9.4333,159.95,79.54,82,100,6.85,SB,1611860539
Camaná,-16.6228,-72.7111,76.03,59,0,8.63,PE,1611860539
Juegang,32.3174,121.1855,34.0,67,0,8.16,CN,1611860539
Kerema,-7.9631,145.7785,77.34,83,100,12.55,PG,1611860539
Bud,39.447,-86.1758,30.99,59,75,8.05,US,1611860539
Razdolinsk,58.4211,94.6658,-36.27,80,75,3.4,RU,1611860540
Asău,46.4333,26.4,30.0,86,0,3.44,RO,1611860540
Belmonte,-15.8631,-38.8828,86.0,70,20,8.05,BR,1611860540
São Gabriel da Cachoeira,-0.1303,-67.0892,80.6,89,75,1.14,BR,1611860540
Kavieng,-2.5744,150.7967,82.58,76,72,10.0,PG,1611860540
Vao,-22.6667,167.4833,76.84,84,8,22.03,NC,1611860540
Sulangan,11.1373,123.7228,79.63,74,99,22.5,PH,1611860540
Kumul,42.8,93.45,18.82,85,0,0.92,CN,1611860541
Turukhansk,65.8167,87.9833,-34.89,78,0,10.27,RU,1611860541
Comodoro Rivadavia,-45.8667,-67.5,68.0,32,40,11.5,AR,1611860395
Tandaltī,13.0167,31.8667,78.75,14,90,16.91,SD,1611860541
Saint Paul Harbor,57.79,-152.4072,35.6,80,90,18.41,US,1611860541
Pak Phanang,8.3511,100.202,77.49,85,99,8.41,TH,1611860542
Montepuez,-13.1256,38.9997,71.58,97,100,4.61,MZ,1611860542
