City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mount Abu,24.6,72.7,40.28,64,0,5.99,IN,1611880090
Saint Paul Harbor,57.79,-152.4072,33.8,80,90,23.02,US,1611879837
Port Elizabeth,-33.918,25.5701,57.2,94,0,3.44,ZA,1611880090
Jamestown,42.097,-79.2353,18.0,86,90,14.97,US,1611880090
Kānker,20.2719,81.4931,64.15,62,32,5.35,IN,1611880091
Mataura,-46.1927,168.8643,48.0,80,96,8.01,NZ,1611879971
Jishou,28.3167,109.7167,40.32,72,31,0.96,CN,1611880091
Arraial do Cabo,-22.9661,-42.0278,77.86,81,99,25.46,BR,1611880091
Baykit,61.67,96.37,-40.74,73,44,3.49,RU,1611880091
Ushuaia,-54.8,-68.3,42.8,81,75,28.77,AR,1611879913
Kurchum,48.5722,83.6542,-4.67,91,2,0.63,KZ,1611880092
Kumul,42.8,93.45,18.81,84,0,4.74,CN,1611880092
Hohhot,40.8106,111.6522,-0.4,65,0,2.24,CN,1611880092
Methóni,36.8197,21.7049,45.0,93,48,2.3,GR,1611880092
Ribeira Grande,38.5167,-28.7,64.51,85,100,43.4,PT,1611880092
Bara,10.3744,10.7288,72.75,18,57,10.65,NG,1611880093
Barrow,71.2906,-156.7887,-11.2,70,1,10.36,US,1611880093
Talnakh,69.4865,88.3972,-32.85,72,0,3.8,RU,1611880093
Bredasdorp,-34.5322,20.0403,60.49,80,2,5.14,ZA,1611879833
Takoradze,4.8845,-1.7554,78.3,88,28,5.1,GH,1611880093
Albany,42.6001,-73.9662,17.01,64,39,4.0,US,1611880043
Fortuna,40.5982,-124.1573,50.0,93,90,3.74,US,1611880094
Vila Velha,-20.3297,-40.2925,78.8,78,0,10.36,BR,1611879875
Punta Arenas,-53.15,-70.9167,43.27,68,91,17.98,CL,1611880094
Bluff,-46.6,168.3333,51.62,68,100,14.0,NZ,1611879881
Qaanaaq,77.484,-69.3632,-13.83,66,0,7.78,GL,1611880094
Ilulissat,69.2167,-51.1,-0.62,71,0,8.79,GL,1611880094
Norman Wells,65.282,-126.8329,-27.4,68,20,2.3,CA,1611879990
Castro,-24.7911,-50.0119,66.2,94,100,4.12,BR,1611880095
Verkhnyaya Inta,65.9811,60.3094,-29.7,85,33,3.65,RU,1611880095
Mount Gambier,-37.8333,140.7667,74.55,75,69,5.59,AU,1611879879
Chui,-33.6971,-53.4616,68.86,75,18,10.0,UY,1611880095
Nikolskoye,59.7035,30.7861,30.2,93,75,6.71,RU,1611880096
Cabedelo,-6.9811,-34.8339,78.94,78,39,11.86,BR,1611879967
